241,504,263,292,51,0.57543
1991,2077,86,2034,43,0
3300,3392,92,3352,52,0
5538,5608,70,5571,33,0
7237,7401,164,7360,123,0
7809,8022,213,7858,49,0
10324,10393,69,10357,33,0
13400,13503,103,13451,51,0
15605,15686,81,15644,39,0
17583,17657,74,17623,40,0
19125,19215,90,19168,43,0
20266,20350,84,20314,48,0
23131,23206,75,23166,35,0
26290,26369,79,26332,42,0
27257,27320,63,27287,30,0
28293,28397,104,28341,48,0
30183,30259,76,30220,37,0
31409,31511,102,31453,44,0
33034,33113,79,33078,44,0
33896,33984,88,33942,46,0
34877,34935,58,34906,29,0
36051,36133,82,36092,41,0
37861,37949,88,37903,42,0
39138,39224,86,39174,36,0
40361,40443,82,40405,44,0
43181,43271,90,43222,41,0
45560,45675,115,45598,38,0
46537,46603,66,46570,33,0
47596,47674,78,47638,42,0
49523,49611,88,49569,46,0
51509,51646,137,51557,48,0
52769,52856,87,52807,38,0
54315,54390,75,54351,36,0
55506,55598,92,55556,50,0
56581,56661,80,56624,43,0
57896,57985,89,57938,42,0
60592,60681,89,60635,43,0
63549,63627,78,63582,33,0
65177,65251,74,65215,38,0
66029,66144,115,66069,40,0
67561,67647,86,67604,43,0
69970,70046,76,70007,37,0
71326,71394,68,71358,32,0
73663,73749,86,73702,39,0
74605,74726,121,74688,83,0
75528,75668,140,75629,101,0
76622,76701,79,76658,36,0
78216,78298,82,78255,39,0
79106,79327,221,79289,183,0
80015,80167,152,80062,47,0
80196,80268,72,80234,38,0
81713,81795,82,81751,38,0
83121,83200,79,83159,38,0
84520,84594,74,84555,35,0
86037,86117,80,86069,32,0
87286,87350,64,87317,31,0
88553,88631,78,88591,38,0
90593,90672,79,90633,40,0
91833,91963,130,91875,42,0
92758,92824,66,92794,36,0
