735,810,75,772,37,0.91931
2028,2367,339,2215,187,0
2644,3014,370,2842,198,0
4625,4751,126,4703,78,0
7268,7325,57,7295,27,0
7703,7786,83,7739,36,0
8358,8476,118,8397,39,0
9399,9481,82,9436,37,0
10256,10339,83,10298,42,0
11601,11687,86,11641,40,0
12986,13067,81,13026,40,0
13415,13504,89,13453,38,0
14792,14880,88,14835,43,0
16108,16189,81,16148,40,0
16735,16817,82,16777,42,0
18040,18122,82,18083,43,0
19195,19263,68,19227,32,0
19615,19708,93,19656,41,0
20382,20463,81,20422,40,0
20713,20792,79,20746,33,0
21662,21721,59,21692,30,0
22817,22896,79,22855,38,0
23289,23448,159,23396,107,0
24386,24477,91,24437,51,0
24928,25019,91,24973,45,0
26397,26474,77,26433,36,0
26951,27025,74,26985,34,0
27931,28024,93,27978,47,0
29572,29651,79,29608,36,0
31288,31371,83,31326,38,0
32310,32408,98,32353,43,0
33017,33094,77,33058,41,0
33657,33734,77,33694,37,0
34855,34935,80,34891,36,0
36374,36450,76,36414,40,0
37090,37177,87,37131,41,0
38188,38260,72,38225,37,0
39147,39232,85,39188,41,0
40253,40329,76,40292,39,0
40869,40966,97,40909,40,0
41205,41266,61,41235,30,0
41701,41807,106,41753,52,0
42686,42765,79,42725,39,0
44193,44266,73,44230,37,0
45407,45481,74,45443,36,0
46755,46836,81,46796,41,0
47586,47678,92,47631,45,0
48992,49073,81,49033,41,0
50576,50647,71,50610,34,0
52107,52188,81,52143,36,0
53177,53244,67,53209,32,0
53952,54049,97,53998,46,0
54891,54954,63,54923,32,0
56362,56437,75,56397,35,0
56669,56731,62,56697,28,0
58262,58340,78,58298,36,0
60059,60127,68,60095,36,0
61493,61579,86,61535,42,0
61946,62017,71,61980,34,0
62837,62922,85,62879,42,0
63294,63364,70,63330,36,0
64243,64334,91,64285,42,0
65166,65235,69,65197,31,0
67999,68066,67,68029,30,0
68957,69022,65,68989,32,0
70061,70116,55,70089,28,0
71079,71159,80,71121,42,0
71719,71814,95,71770,51,0
74582,74648,66,74613,31,0
75409,75469,60,75438,29,0
76447,76537,90,76492,45,0
77581,77663,82,77623,42,0
78330,78414,84,78370,40,0
79037,79124,87,79083,46,0
79606,79697,91,79655,49,0
80814,80900,86,80852,38,0
82454,82510,56,82480,26,0
82864,82945,81,82896,32,0
83321,83381,60,83352,31,0
83892,83990,98,83936,44,0
84613,84705,92,84656,43,0
85326,85457,131,85414,88,0
86860,86942,82,86905,45,0
88277,88371,94,88320,43,0
88902,89058,156,89014,112,0
90081,90162,81,90121,40,0
91057,91171,114,91126,69,0
92219,92288,69,92254,35,0
92857,92925,68,92892,35,0
93413,93491,78,93451,38,0
94290,94373,83,94330,40,0
95558,95637,79,95596,38,0
96151,96239,88,96196,45,0
97583,97669,86,97628,45,0
