1401,1445,44,1420,19,0.76376
2135,2200,65,2165,30,0
3910,3999,89,3947,37,0
6657,6740,83,6695,38,0
10115,10177,62,10144,29,0
11369,11434,65,11401,32,0
12979,13049,70,13011,32,0
13680,13747,67,13711,31,0
14339,14403,64,14368,29,0
15709,15767,58,15736,27,0
16876,16952,76,16913,37,0
17598,17668,70,17633,35,0
18712,18807,95,18750,38,0
20257,20338,81,20299,42,0
21521,21602,81,21559,38,0
23415,23495,80,23450,35,0
24829,24896,67,24862,33,0
26073,26155,82,26107,34,0
27144,27220,76,27181,37,0
29216,29292,76,29246,30,0
30071,30151,80,30110,39,0
32114,32198,84,32147,33,0
33300,33360,60,33328,28,0
34252,34343,91,34296,44,0
36232,36290,58,36260,28,0
37108,37198,90,37153,45,0
38140,38301,161,38255,115,0
39617,39699,82,39659,42,0
41310,41410,100,41347,37,0
42780,42868,88,42821,41,0
43830,43925,95,43879,49,0
44862,44945,83,44904,42,0
46656,46732,76,46692,36,0
47520,47598,78,47556,36,0
48199,48264,65,48231,32,0
48795,48870,75,48832,37,0
50103,50172,69,50138,35,0
50518,50574,56,50544,26,0
52215,52294,79,52258,43,0
53047,53123,76,53086,39,0
54027,54104,77,54061,34,0
54951,55017,66,54983,32,0
56145,56242,97,56193,48,0
58540,58603,63,58569,29,0
59599,59664,65,59629,30,0
61820,61896,76,61855,35,0
63454,63524,70,63487,33,0
64484,64578,94,64519,35,0
65841,65917,76,65875,34,0
67667,67730,63,67698,31,0
68892,68966,74,68927,35,0
69886,69952,66,69917,31,0
70423,70479,56,70451,28,0
71078,71156,78,71115,37,0
71946,72028,82,71985,39,0
73445,73534,89,73482,37,0
75350,75418,68,75384,34,0
76961,77037,76,76995,34,0
77243,77308,65,77274,31,0
79004,79066,62,79032,28,0
80297,80373,76,80335,38,0
80830,80890,60,80856,26,0
81401,81504,103,81426,25,0
82813,82884,71,82846,33,0
83975,84117,142,84019,44,0
84607,84659,52,84632,25,0
85570,85657,87,85611,41,0
86923,87018,95,86969,46,0
87784,87863,79,87828,44,0
88266,88419,153,88300,34,0
88665,88729,64,88697,32,0
90343,90438,95,90384,41,0
91757,91838,81,91795,38,0
93286,93364,78,93324,38,0
93852,93981,129,93885,33,0
