Index,1,2,4,6,8,10,11,13,15,16,17,18,19,22,25,27,35,38,39,40,42,44,60,61,64,77,79,83,85,86,87,88,89,92,94,99,101,102,103,106,115,126,128,131,135,139,140,143,144,148,150,153,154,155,160,164,165,167,170,174,175,177,178,183,184,186,191,205,215,219,220,221,228,230,241,245,246,251,255,256,260,267,269,270,274,275,276,278,280,281,283,290,291,299,300,311,315,324,326,328,331,338,348,352,356,357,360,363,367,371,377,380,382,385,398,401,405,406,407,420,430,433,438,439,444,445,
Basic - Area,26.24121,9.9436035,122.211426,65.14917,17.287842,36.391113,54.58667,44.18921,11.140137,10.768799,29.005615,4.373535,8.499512,12.212891,6.684082,11.305176,37.670166,47.48999,4.8686523,21.455078,4.744873,4.3322754,10.273682,5.116211,4.249756,5.1987305,4.6623535,15.967529,10.60376,9.077148,6.3952637,7.6330566,23.641846,4.909912,4.1259766,26.860107,4.249756,5.0336914,6.7666016,35.937256,5.611328,3.1357422,9.861084,4.8686523,10.149902,3.0944824,34.98828,8.705811,6.312744,3.1357422,10.356201,7.4680176,7.3029785,12.006592,10.438721,6.849121,4.538574,17.164062,3.3833008,16.00879,3.1357422,3.5483398,3.3007812,7.880615,8.664551,10.149902,4.249756,6.1064453,5.5288086,8.251953,4.0021973,4.744873,4.7036133,5.776367,7.7980957,6.6015625,3.5895996,3.4245605,8.953369,3.9609375,32.100098,17.865479,12.25415,85.07764,4.2910156,4.043457,3.6308594,21.455078,42.08496,6.2302246,29.748291,4.0021973,5.652588,10.851318,5.611328,3.0944824,8.705811,3.4245605,3.713379,3.8371582,9.035889,10.191162,9.654785,4.951172,10.397461,8.086914,13.079346,3.3007812,8.128174,5.23999,5.32251,4.1259766,6.188965,3.1357422,3.3007812,4.373535,10.314941,3.1357422,8.169434,6.519043,5.5288086,5.116211,3.50708,41.424805,6.354004,65.64429,
Basic - Perimeter,59.106735,31.07975,94.30708,71.993385,25.925657,44.604218,57.82177,60.380333,23.496689,25.060545,60.44919,12.310187,21.413437,21.484125,21.223719,30.207733,77.96547,68.68733,15.883361,51.243362,17.662329,15.817952,18.440094,14.698938,13.16189,13.261017,17.430563,44.32228,23.259642,24.276077,16.9973,14.630077,46.1565,12.89986,7.9895163,41.28658,15.256719,11.789374,18.293844,50.03233,16.211,10.200329,27.439342,15.23986,20.85403,14.8671255,48.316734,17.763077,14.119422,10.86211,26.701801,16.31175,19.972061,25.448517,21.12297,12.523673,14.829954,34.640938,10.559859,27.14359,8.636266,15.243312,11.7759695,16.17403,25.556171,28.291048,12.632751,21.44553,20.53147,15.468375,11.12922,11.779422,11.342703,16.288189,13.69611,20.293,8.638095,9.414031,23.120296,13.393657,59.197735,29.127516,29.440126,83.75271,14.502515,11.149328,8.916781,32.97633,57.43197,15.98411,55.61603,14.746062,15.409672,18.51911,15.722076,6.832109,15.36925,11.199703,8.449797,11.231797,26.994093,22.928751,17.44397,12.142203,19.550375,19.192673,22.197906,7.4687023,14.438532,18.641594,13.469218,16.906298,17.677359,11.055282,8.06,13.331499,18.436844,11.282171,15.816125,25.47553,10.808485,15.399516,11.967516,51.638027,14.821626,85.94645,
Basic - Circularity,10.594494,7.7303896,5.7911787,6.330914,3.0939188,4.350575,4.8740087,6.5654564,3.9437823,4.640918,10.025106,2.7573178,4.2930794,3.0075095,5.3627963,6.4231653,12.840951,7.905719,4.123502,9.739469,5.2319245,4.5959425,2.6338456,3.3605754,3.2438643,2.691823,5.185704,9.790314,4.060096,5.1665154,3.5949388,2.2314384,7.170914,2.6970341,1.2311312,5.0501027,4.358614,2.1972783,3.935768,5.5430226,3.7268689,2.6404512,6.075932,3.7961495,3.4096382,5.6840267,5.309611,2.8841465,2.513077,2.9941819,5.478615,2.8352146,4.3464622,4.292352,3.401362,1.8222953,3.856118,5.563516,2.6228037,3.662404,1.8927871,5.21103,3.3432338,2.6415966,5.9984035,6.2751822,2.9882853,5.9934273,6.067344,2.3073995,2.4627542,2.3270917,2.1766653,3.6549456,1.9142385,4.964047,1.6541697,2.05938,4.751059,3.6040473,8.687483,3.7790477,5.628417,6.561036,3.9004676,2.4464407,1.7425969,4.0333385,6.236926,3.2633479,8.2742405,4.3235826,3.3429477,2.515057,3.505454,1.2003604,2.1591673,2.9147298,1.5300773,2.6162481,6.4173646,4.1051326,2.5080614,2.3696115,2.9253175,3.6247513,2.9979758,1.3448185,2.041001,5.2774696,2.7124295,5.51265,4.0179715,3.101626,1.5661867,3.2338173,2.6223855,3.230243,2.4366794,7.9223275,1.6814666,3.6885514,3.249769,5.1223464,2.7512772,8.954659,
Curve - P Value on max Dff (-log10),Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,15.954589770191003,14.291831938509429,10.650521678547998,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,15.653559774527022,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,12.470289930844217,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,9.610864778637625,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,5.29189844821115,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,12.838646593251948,9.616632803191202,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,13.058615037831938,Infinity,Infinity,Infinity,Infinity,Infinity,3.8305053913223706,Infinity,Infinity,Infinity,15.954589770191003,7.483135123630464,Infinity,Infinity,Infinity,
Curve - Max Dff,2.1380713,3.0650575,2.0096345,1.3466431,1.7728667,2.534984,1.671791,2.0707924,2.8005881,2.2444017,1.8132612,2.64877,2.148569,1.8689009,2.1670237,1.5627638,1.717848,1.5788034,1.981729,1.6807072,1.8199505,1.9842818,1.9779427,1.6507074,1.8799527,2.2541082,2.284149,2.5345423,1.7857695,1.3690767,1.6695069,3.1389267,1.9639083,2.0119596,1.3413647,2.2504895,1.3049012,1.8664775,2.1678667,1.9675955,2.7798738,1.6471367,2.3425884,1.7736679,1.5379915,2.2870228,1.2875139,1.5212195,1.8827114,1.9912728,1.2985514,1.4540879,1.4046146,1.8685156,1.3538578,1.7725754,2.7649941,1.3197598,2.0854557,1.6748152,1.5206796,1.2346652,2.1935842,3.0853012,1.4090408,0.7004557,1.4878163,1.4884596,1.7711066,1.3154216,1.4044325,1.6259621,1.2214444,1.5968832,1.325809,0.5878388,1.7345955,1.6784173,1.8672234,1.1737235,2.041569,1.3051032,1.4209639,0.678808,1.1958926,1.444713,1.6715398,1.1913923,0.9693339,1.4204224,1.5060009,0.8533362,1.4014747,1.5809528,1.2291399,1.351869,2.200561,1.5896301,1.3624945,1.2287338,1.6057234,1.3794314,1.856646,1.6645644,1.4677867,2.1827788,1.629354,1.4936662,1.3631467,1.7248499,1.4167526,1.4362062,1.161919,1.8035879,1.1565905,1.4552468,1.1948044,1.7123388,1.1612669,1.351938,2.0346558,1.9649665,1.3219727,1.6389054,1.1199533,1.4555355,
Curve - Duration 50% to 50%,6.156,3.888,3.24,3.24,8.424,2.592,5.832,7.1280003,9.0720005,6.48,15.228,5.508,3.24,1.944,4.212,1.62,5.508,5.832,8.1,15.876,1.944,1.62,2.2680001,0.648,0.648,5.508,4.86,9.72,6.804,6.48,7.776,4.86,7.452,0.972,1.944,2.592,0.972,2.916,1.944,2.916,3.5640001,1.944,5.508,5.508,1.62,9.72,2.2680001,1.62,1.296,3.24,1.944,0.972,1.944,1.296,1.944,1.296,0.324,1.62,5.184,2.916,6.48,2.2680001,8.1,7.776,5.508,2.592,1.62,1.296,6.804,2.916,3.5640001,4.86,1.62,0.972,2.916,0.972,1.62,2.2680001,2.592,1.296,10.044,6.156,3.888,2.916,1.296,1.296,0.324,2.916,5.508,2.2680001,6.804,3.24,2.916,2.2680001,1.62,0.648,1.944,5.184,1.296,2.2680001,5.832,0.972,6.156,1.296,2.2680001,1.944,1.944,1.62,0.972,8.748,2.592,3.5640001,0.972,5.832,1.62,1.62,2.592,5.508,1.62,2.592,3.24,2.592,7.776,2.2680001,2.2680001,3.24,
Curve - Duration 10% to 10%,6.156,3.888,5.184,4.5360003,8.748,6.48,8.1,10.044,9.0720005,7.452,17.172,5.832,7.1280003,2.916,5.508,3.5640001,6.156,10.044,8.1,15.876,1.944,2.916,2.592,3.24,4.212,5.508,4.86,9.72,7.1280003,9.396,7.776,5.184,7.452,2.592,5.184,4.5360003,2.592,4.212,5.832,3.888,6.156,2.2680001,7.1280003,5.508,3.24,9.72,4.86,2.592,2.592,3.24,2.592,4.86,7.452,2.2680001,4.212,3.24,1.944,3.24,5.832,6.48,9.72,4.212,8.1,11.016,7.776,8.1,7.1280003,2.592,6.804,3.24,3.5640001,4.86,3.5640001,0.972,4.212,5.508,5.184,5.508,7.452,4.212,11.016,6.156,4.212,6.156,4.212,2.2680001,1.62,3.24,6.156,2.916,8.424,9.72,4.86,5.832,3.24,1.296,1.944,7.776,2.2680001,4.86,5.832,1.944,10.692,2.592,2.2680001,1.944,2.916,3.888,1.62,8.748,3.24,7.452,4.5360003,8.1,2.916,1.62,6.804,5.508,2.2680001,2.916,4.86,2.592,7.776,3.5640001,9.0720005,6.48,
Curve - Rising Duration 10% to 90%,1.944,1.296,1.944,1.62,2.592,1.296,0.972,3.5640001,1.296,3.888,6.48,4.86,3.5640001,0.972,2.916,1.944,3.888,5.508,5.184,2.916,0.648,1.296,0.972,1.944,4.212,2.592,3.888,4.5360003,3.888,4.86,3.24,2.916,2.592,0.972,1.62,1.944,1.944,0.648,3.5640001,1.944,3.5640001,1.62,1.62,2.2680001,1.296,2.592,2.916,0.972,0.972,2.2680001,0.648,1.62,5.832,0.972,0.972,0.648,1.944,1.944,3.5640001,0.972,3.5640001,0.648,7.452,1.296,3.888,3.24,3.24,1.296,1.944,1.62,1.944,3.5640001,0.972,0.648,1.62,3.24,3.888,0.972,1.62,2.2680001,2.592,0.972,1.296,4.212,1.62,1.944,0.324,1.944,2.2680001,0.648,3.888,4.86,2.916,3.5640001,1.944,0.324,0.972,5.508,0.648,2.916,3.5640001,0.972,8.424,2.2680001,0.972,0.648,0.972,2.592,0.648,2.916,0.972,2.592,1.62,0.648,0.324,0.648,3.5640001,4.86,0.972,1.62,1.296,0.972,1.62,0.972,2.2680001,1.296,
Curve - Decaying Duration 90% to 10%,2.592,1.62,2.592,2.2680001,4.212,4.86,5.832,5.184,5.508,3.5640001,10.044,0.972,3.5640001,1.944,2.592,0.972,1.62,3.888,2.916,10.692,0.972,1.62,1.296,1.296,0.324,2.2680001,0.972,3.888,2.916,4.212,4.5360003,2.2680001,4.5360003,1.62,3.5640001,1.944,0.648,3.5640001,1.62,1.944,1.944,0.648,4.86,3.24,1.944,7.1280003,1.944,1.62,1.62,0.972,1.62,3.24,1.62,1.296,3.24,2.2680001,0.324,1.296,2.2680001,4.5360003,6.156,3.5640001,0.648,8.748,2.916,4.86,3.888,1.296,4.86,1.62,1.62,1.296,2.592,0.324,2.592,2.2680001,1.296,4.5360003,5.832,1.944,7.776,4.212,2.2680001,1.296,2.592,0.324,1.62,1.296,3.5640001,1.944,4.212,3.888,1.944,2.2680001,1.296,1.296,0.972,2.2680001,1.62,1.62,2.2680001,0.972,0.648,0.324,1.296,1.296,1.944,1.296,0.972,5.508,1.62,4.86,2.916,7.452,2.592,0.648,3.24,0.324,0.972,1.296,3.5640001,1.296,6.156,2.592,6.804,4.212,
Curve - Decay Tau,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Propagation - Onset - Overall,4.034617,10.010584,38.55241,4.213392,11.678584,19.0959,15.55826,25.9742,4.6898565,4.3758445,31.614388,0.913666,1.4355664,10.851115,2.5730352,6.6666036,22.729603,80.14396,1.8202832,30.162899,0.9750586,0.22106805,1.1121458,2.428519,1.4316237,1.4667711,0.71048355,13.970434,11.190305,1.466595,2.8987374,1.7168355,14.6698065,0.76993704,0.33993095,21.839058,3.195321,1.4857985,3.3551664,21.408619,1.9711332,0.09256327,11.348033,2.0068123,0.6703535,3.8497753,35.27446,1.4913936,1.9788162,1.8079836,2.3161166,0.91396916,2.4863153,3.2599707,9.718573,1.6126187,0.0,13.921794,3.736763,9.445208,0.17033747,0.039025843,3.500635,2.8411496,8.011739,2.3670342,0.03011088,0.43526676,9.749046,2.803756,0.24369843,3.6325226,0.10916814,0.15916698,1.2790004,0.63341683,1.4840245,0.5150286,5.629085,0.0,43.481808,12.286653,4.3632092,50.063946,0.0,0.40976727,0.09249644,2.7810204,17.04139,1.205302,21.233858,0.0,0.5683789,0.22847746,1.0046229,0.0,0.5105132,0.0,0.0,0.5412214,5.3713274,0.17164455,1.3796204,0.0,0.7300904,4.5855317,2.1081796,0.06529012,0.2992726,7.8351974,0.51821303,3.804348,0.0,1.896811,0.0,0.43112254,0.88918924,1.6483759,1.2445283,7.202639,0.6986712,3.2695494,4.0482073,28.401405,0.0,32.881783,
Propagation - Onset - One Direction - Anterior,0.9994385,1.0465249,13.725643,0.09307855,4.1767435,3.434431,7.4262114,9.368098,0.027055606,2.5037105,2.5863767,0.18995672,1.2076285,5.3553004,0.17637062,0.34436828,8.333007,33.19684,0.34063762,3.1483357,0.0,0.0,0.53857464,1.467885,0.29757756,0.7438117,0.17080635,3.0115073,3.6775146,0.7695886,0.46771696,0.09041265,7.379734,0.54600054,0.096532784,5.4870214,0.0,1.183827,1.9287688,0.059870362,1.1432968,0.065386884,0.89496064,0.7318,0.17877637,0.4440259,17.757025,0.63791275,1.285727,0.23472187,0.78104085,0.1984925,1.453214,0.407416,4.0003633,1.2171249,0.0,5.3120046,1.9959502,0.8237405,0.0,0.039025843,1.9379289,1.4681419,1.6334658,0.8335739,0.013876781,0.0,1.0594399,1.2868196,0.0,1.0260061,0.0,0.0,0.18520151,0.21558824,0.41195977,0.19599982,0.95158315,0.0,9.37206,0.3662765,0.63625455,17.642132,0.0,0.0,0.0,1.4757068,2.9473383,0.6627811,0.38133204,0.0,0.36648047,0.032451928,0.17684619,0.0,0.4352445,0.0,0.0,0.053199396,1.1859393,0.0,0.7081091,0.0,0.5628871,0.0,0.29040256,0.016927019,0.27145588,1.1828076,0.48349312,0.4124891,0.0,0.7726862,0.0,0.0,0.21422836,0.2756076,0.031339034,2.0069818,0.36170444,0.0,1.3160217,5.629928,0.0,13.208256,
Propagation - Onset - One Direction - Posterior,0.60698223,7.4222918,8.24927,1.5455668,4.346326,11.113459,5.3222938,10.415601,4.2339215,0.9520336,16.8494,0.52257395,0.102601975,1.0317818,0.6047038,6.0304136,2.7579563,24.977467,0.972623,15.77431,0.64862806,0.17419307,0.3022651,0.65671587,1.1340461,0.17380467,0.50511616,2.3088672,6.8728986,0.40378633,0.9430295,0.9746469,3.5625408,0.023017228,0.09413401,10.03549,1.263244,0.13434781,1.3613873,9.2697315,0.68096006,0.0068806633,1.9501704,0.43044752,0.32084295,1.7498294,14.497625,0.63791275,0.129922,1.5498383,0.8460708,0.5856364,0.6765366,2.011892,3.7782297,0.0,0.0,4.9684563,0.61977845,7.4151316,0.13535106,0.0,1.2157067,0.8811629,3.1123333,1.2874463,0.0,0.35412687,2.534908,0.7364642,0.2173185,1.4808819,0.09914842,0.10637826,0.6531145,0.30828112,0.37516174,0.24868117,3.1476898,0.0,23.066444,3.5021172,2.331422,19.895391,0.0,0.40976727,0.086427346,0.9098829,10.652419,0.35568708,15.776953,0.0,0.042064846,0.08420098,0.44344777,0.0,0.008723378,0.0,0.0,0.48020947,2.2937984,0.17164455,0.32312202,0.0,0.0,3.353557,1.4882464,0.0,0.0,2.6842039,0.0,1.9697807,0.0,0.50123733,0.0,0.2335373,0.5385456,0.4087398,0.031339034,2.5762792,0.3292225,1.1933594,1.2819492,13.113396,0.0,9.282105,
Propagation - Onset - One Direction - Left,0.4666802,0.3867215,11.380199,2.4892972,2.3930602,0.14644043,1.5612854,2.8308215,0.41646343,0.5336431,10.914857,0.060108438,0.04205826,0.6579721,1.791961,0.011284728,3.351122,11.401327,0.19736508,2.3672445,0.31895453,0.046874985,0.21206138,0.2812159,0.0,0.35960814,0.012828976,1.6069624,0.49413225,0.1148622,1.1944759,0.62130725,2.8084867,0.075013556,0.14926416,3.6077886,0.21905632,0.009526037,0.06297474,1.9700593,0.089754015,0.0,0.24183644,0.110287525,0.03339871,0.05078125,0.06066934,0.20213822,0.5575248,0.023423448,0.21932249,0.071397185,0.02608151,0.09643312,0.17205319,0.3049841,0.0,1.3851608,1.1210344,0.5638868,0.0,0.0,0.26531926,0.15247634,0.86554325,0.16510579,0.0,0.0,0.0,0.5258571,0.026379928,0.78623724,0.0,0.027165249,0.22689733,0.109547436,0.08632812,0.0,1.2083808,0.0,8.335584,7.180469,1.1144326,11.603852,0.0,0.0,0.0,0.09839584,3.244585,0.16756065,0.72782344,0.0,0.103906356,0.11182456,0.15581328,0.0,0.0665453,0.0,0.0,0.00781253,0.5301717,0.0,0.047549695,0.0,0.09619078,1.2054863,0.044044033,0.048363104,0.027816713,0.0,0.0,0.325,0.0,0.22407897,0.0,0.19758523,0.037018083,0.5874661,1.1752212,2.487944,0.007744342,0.66797054,1.3220742,9.515379,0.0,4.6970425,
Propagation - Onset - One Direction - Right,1.961516,1.155046,5.1972947,0.08544928,0.7624537,4.40157,1.2484705,3.3596783,0.012415975,0.38645735,1.2637554,0.14102691,0.08327773,3.8060608,0.0,0.28053665,8.287518,10.568332,0.30965763,8.873009,0.0074760467,0.0,0.059244663,0.022702247,0.0,0.18954654,0.021732122,7.043098,0.14575937,0.17835794,0.29351518,0.030468673,0.91904485,0.12590571,0.0,2.7087576,1.7130207,0.15809767,0.0020359457,10.108958,0.05712232,0.020295724,8.2610655,0.73427725,0.13733548,1.6051387,2.959141,0.01342988,0.0056423396,0.0,0.4696824,0.05844307,0.330483,0.7442292,1.7679263,0.0905097,0.0,2.256173,0.0,0.64244795,0.0349864,0.0,0.08167997,0.33936852,2.400396,0.08090821,0.0162341,0.08113989,6.1546984,0.25461507,0.0,0.33939737,0.01001972,0.02562347,0.21378708,0.0,0.61057484,0.07034764,0.32143185,0.0,2.707723,1.2377899,0.28109998,0.92257357,0.0,0.0,0.006069094,0.29703498,0.19704893,0.019273102,4.34775,0.0,0.05592729,0.0,0.22851562,0.0,0.0,0.0,0.0,0.0,1.3614177,0.0,0.30083954,0.0,0.07101247,0.026488408,0.28548646,0.0,0.0,3.968186,0.034719944,1.097078,0.0,0.39880842,0.0,0.0,0.09939715,0.3765624,0.0066289306,0.13143414,0.0,1.4082196,0.1281623,0.14270177,0.0,5.6943817,
Propagation - Onset - One Direction - Ratio - Anterior,0.24771585,0.104541846,0.35602555,0.022091122,0.35764125,0.17985176,0.47731632,0.36066937,0.0057689627,0.57216626,0.08181012,0.20790608,0.8412209,0.49352536,0.068545744,0.051655732,0.36661473,0.41421512,0.18713441,0.104377754,0.0,0.0,0.48426622,0.6044363,0.20786019,0.5071083,0.24040858,0.2155629,0.328634,0.5247451,0.16135196,0.05266238,0.503056,0.7091496,0.28397763,0.2512481,0.0,0.7967615,0.5748653,0.0027965542,0.58002007,0.70640206,0.07886483,0.36465794,0.26668972,0.11533813,0.5033961,0.4277293,0.6497456,0.12982522,0.33722,0.21717636,0.58448505,0.12497535,0.41162047,0.7547506,,0.38156036,0.53413886,0.08721253,0.0,1.0,0.5535936,0.5167422,0.20388405,0.35215962,0.46085602,0.0,0.10867113,0.45896277,0.0,0.28245002,0.0,0.0,0.14480177,0.3403576,0.27759632,0.38056102,0.16904756,,0.2155398,0.029810928,0.14582261,0.35239196,,0.0,0.0,0.530635,0.17295176,0.549888,0.017958678,,0.64478195,0.14203557,0.17603241,,0.8525627,,,0.09829507,0.22079073,0.0,0.5132637,,0.77098274,0.0,0.13775039,0.25925848,0.9070523,0.15096079,0.9330007,0.1084257,,0.40736067,,0.0,0.2409255,0.16719948,0.025181456,0.27864534,0.51770335,0.0,0.32508752,0.1982271,,0.40168917,
