2096,2415,319,2378,282
2688,3067,379,2802,114
5530,5584,54,5557,27
5915,5993,78,5951,36
6683,6766,83,6724,41
7910,7983,73,7944,34
9784,9862,78,9821,37
10851,10914,63,10880,29
11564,11638,74,11602,38
13602,13672,70,13636,34
14990,15056,66,15019,29
16355,16424,69,16388,33
17032,17112,80,17071,39
18225,18281,56,18254,29
19375,19437,62,19405,30
20186,20242,56,20215,29
21821,21902,81,21867,46
23823,23882,59,23853,30
24920,24997,77,24959,39
26428,26498,70,26466,38
27983,28059,76,28019,36
29810,29874,64,29842,32
32014,32095,81,32050,36
34399,34473,74,34438,39
35402,35462,60,35430,28
36020,36102,82,36060,40
36717,36787,70,36750,33
37453,37519,66,37483,30
38643,38713,70,38678,35
39663,39723,60,39692,29
40026,40094,68,40060,34
40759,40833,74,40797,38
42097,42175,78,42134,37
43498,43559,61,43527,29
44915,44984,69,44948,33
46143,46204,61,46172,29
46794,46868,74,46830,36
48089,48156,67,48120,31
49800,49854,54,49826,26
51390,51469,79,51428,38
53170,53239,69,53202,32
53507,53580,73,53542,35
54491,54565,74,54529,38
55273,55349,76,55308,35
56409,56476,67,56441,32
58360,58433,73,58397,37
60053,60136,83,60090,37
61100,61156,56,61131,31
61704,61789,85,61744,40
62319,62383,64,62352,33
63212,63269,57,63241,29
65585,65644,59,65614,29
67468,67534,66,67499,31
68582,68659,77,68617,35
69754,69830,76,69795,41
70444,70515,71,70478,34
71447,71518,71,71484,37
72718,72784,66,72753,35
74609,74685,76,74643,34
76326,76397,71,76356,30
77880,77942,62,77910,30
79227,79296,69,79263,36
79768,79833,65,79801,33
80468,80535,67,80501,33
81811,81878,67,81846,35
82466,82540,74,82505,39
82760,82820,60,82787,27
84071,84145,74,84108,37
85360,85438,78,85400,40
87185,87241,56,87214,29
88247,88307,60,88276,29
89435,89507,72,89467,32
90734,90795,61,90763,29
92197,92270,73,92235,38
92993,93069,76,93031,38
93411,93490,79,93449,38
94241,94306,65,94272,31
94695,94766,71,94730,35
95891,95962,71,95922,31
96980,0,0,0,0
